"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test sends a message to the chat and validates that a response is displayed.","3183","Send Message and Verify Response","tests","Thu Sep 11 06:12:26 UTC 2025","passed","Thu Sep 11 06:12:29 UTC 2025","ExampleTestCase","test_example","",""
"This test verifies that the Ollama UI homepage title contains 'Ollama UI'.","1097","Verify Ollama UI Page Title","tests","Thu Sep 11 06:12:39 UTC 2025","passed","Thu Sep 11 06:12:40 UTC 2025","ExampleTestCase","test_example","",""
"This test changes the user name and verifies the update is reflected.","4138","Change User Name","tests","Thu Sep 11 06:12:31 UTC 2025","broken","Thu Sep 11 06:12:35 UTC 2025","ExampleTestCase","test_example","",""
"This test sends a message to the chat and validates that a response is displayed.","1519","Send Message and Verify Response","tests","Thu Sep 11 06:12:38 UTC 2025","passed","Thu Sep 11 06:12:39 UTC 2025","ExampleTestCase","test_example","",""
"This test verifies that the Ollama UI homepage title contains 'Ollama UI'.","3314","Verify Ollama UI Page Title","tests","Thu Sep 11 06:12:35 UTC 2025","passed","Thu Sep 11 06:12:38 UTC 2025","ExampleTestCase","test_example","",""
"This test changes the user name and verifies the update is reflected.","4311","Change User Name","tests","Thu Sep 11 06:12:31 UTC 2025","passed","Thu Sep 11 06:12:35 UTC 2025","ExampleTestCase","test_example","",""
"This test sends a message to the chat and validates that a response is displayed.","1361","Send Message and Verify Response","tests","Thu Sep 11 06:12:36 UTC 2025","passed","Thu Sep 11 06:12:38 UTC 2025","ExampleTestCase","test_example","",""
"This test verifies that the Ollama UI homepage title contains 'Ollama UI'.","2778","Verify Ollama UI Page Title","tests","Thu Sep 11 06:12:35 UTC 2025","passed","Thu Sep 11 06:12:38 UTC 2025","ExampleTestCase","test_example","",""
"This test verifies that the Ollama UI homepage title contains 'Ollama UI'.","2719","Verify Ollama UI Page Title","tests","Thu Sep 11 06:12:23 UTC 2025","passed","Thu Sep 11 06:12:26 UTC 2025","ExampleTestCase","test_example","",""
"This test sends a message to the chat and validates that a response is displayed.","3030","Send Message and Verify Response","tests","Thu Sep 11 06:12:38 UTC 2025","passed","Thu Sep 11 06:12:41 UTC 2025","ExampleTestCase","test_example","",""
"This test verifies that the Ollama UI homepage title contains 'Ollama UI'.","1106","Verify Ollama UI Page Title","tests","Thu Sep 11 06:12:36 UTC 2025","passed","Thu Sep 11 06:12:38 UTC 2025","ExampleTestCase","test_example","",""
"This test changes the user name and verifies the update is reflected.","13812","Change User Name","tests","Thu Sep 11 06:12:25 UTC 2025","passed","Thu Sep 11 06:12:39 UTC 2025","ExampleTestCase","test_example","",""
"This test changes the user name and verifies the update is reflected.","12053","Change User Name","tests","Thu Sep 11 06:12:23 UTC 2025","passed","Thu Sep 11 06:12:35 UTC 2025","ExampleTestCase","test_example","",""
"This test changes the user name and verifies the update is reflected.","3384","Change User Name","tests","Thu Sep 11 06:12:20 UTC 2025","passed","Thu Sep 11 06:12:23 UTC 2025","ExampleTestCase","test_example","",""
"This test sends a message to the chat and validates that a response is displayed.","3519","Send Message and Verify Response","tests","Thu Sep 11 06:12:38 UTC 2025","passed","Thu Sep 11 06:12:42 UTC 2025","ExampleTestCase","test_example","",""
"This test changes the user name and verifies the update is reflected.","12031","Change User Name","tests","Thu Sep 11 06:12:24 UTC 2025","passed","Thu Sep 11 06:12:36 UTC 2025","ExampleTestCase","test_example","",""
"This test sends a message to the chat and validates that a response is displayed.","1606","Send Message and Verify Response","tests","Thu Sep 11 06:12:40 UTC 2025","passed","Thu Sep 11 06:12:41 UTC 2025","ExampleTestCase","test_example","",""
"This test verifies that the Ollama UI homepage title contains 'Ollama UI'.","1077","Verify Ollama UI Page Title","tests","Thu Sep 11 06:12:35 UTC 2025","passed","Thu Sep 11 06:12:36 UTC 2025","ExampleTestCase","test_example","",""
